year,country,data_source,number_of_incidents
2018,Albania,Police Records,NA
2018,Albania,Other Sources,1
2018,Andorra,Police Records,0
2018,Andorra,Other Sources,NA
2018,Armenia,Police Records,0
2018,Armenia,Other Sources,26
2018,Austria,Police Records,307
2018,Austria,Other Sources,121
2018,Azerbaijan,Police Records,NA
2018,Azerbaijan,Other Sources,1
2018,Belarus,Police Records,NA
2018,Belarus,Other Sources,2
2018,Belgium,Police Records,1446
2018,Belgium,Other Sources,43
2018,Bosnia and Herzegovina,Police Records,NA
2018,Bosnia and Herzegovina,Other Sources,71
2018,Bulgaria,Police Records,46
2018,Bulgaria,Other Sources,13
2018,Canada,Police Records,1798
2018,Canada,Other Sources,112
2018,Croatia,Police Records,33
2018,Croatia,Other Sources,18
2018,Cyprus,Police Records,NA
2018,Cyprus,Other Sources,NA
2018,Czech Republic,Police Records,46
2018,Czech Republic,Other Sources,62
2018,Denmark,Police Records,449
2018,Denmark,Other Sources,12
2018,Estonia,Police Records,NA
2018,Estonia,Other Sources,2
2018,Finland,Police Records,880
2018,Finland,Other Sources,3
2018,France,Police Records,1838
2018,France,Other Sources,201
2018,Georgia,Police Records,344
2018,Georgia,Other Sources,66
2018,Germany,Police Records,8113
2018,Germany,Other Sources,1996
2018,Greece,Police Records,164
2018,Greece,Other Sources,130
2018,Holy See,Police Records,0
2018,Holy See,Other Sources,NA
2018,Hungary,Police Records,194
2018,Hungary,Other Sources,25
2018,Iceland,Police Records,7
2018,Iceland,Other Sources,1
2018,Ireland,Police Records,368
2018,Ireland,Other Sources,1
2018,Italy,Police Records,1111
2018,Italy,Other Sources,301
2018,Kazakhstan,Police Records,14
2018,Kazakhstan,Other Sources,8
2018,Kyrgyzstan,Police Records,NA
2018,Kyrgyzstan,Other Sources,37
2018,Latvia,Police Records,NA
2018,Latvia,Other Sources,NA
2018,Liechtenstein,Police Records,2
2018,Liechtenstein,Other Sources,NA
2018,Lithuania,Police Records,7
2018,Lithuania,Other Sources,7
2018,Luxembourg,Police Records,NA
2018,Luxembourg,Other Sources,NA
2018,Malta,Police Records,NA
2018,Malta,Other Sources,NA
2018,Moldova,Police Records,10
2018,Moldova,Other Sources,11
2018,Monaco,Police Records,NA
2018,Monaco,Other Sources,NA
2018,Mongolia,Police Records,0
2018,Mongolia,Other Sources,NA
2018,Montenegro,Police Records,NA
2018,Montenegro,Other Sources,3
2018,Netherlands,Police Records,3299
2018,Netherlands,Other Sources,54
2018,North Macedonia,Police Records,33
2018,North Macedonia,Other Sources,73
2018,Norway,Police Records,624
2018,Norway,Other Sources,1
2018,Poland,Police Records,1117
2018,Poland,Other Sources,106
2018,Portugal,Police Records,23
2018,Portugal,Other Sources,1
2018,Romania,Police Records,2
2018,Romania,Other Sources,12
2018,Russian Federation,Police Records,576
2018,Russian Federation,Other Sources,139
2018,San Marino,Police Records,NA
2018,San Marino,Other Sources,NA
2018,Serbia,Police Records,61
2018,Serbia,Other Sources,28
2018,Slovakia,Police Records,266
2018,Slovakia,Other Sources,8
2018,Slovenia,Police Records,NA
2018,Slovenia,Other Sources,5
2018,Spain,Police Records,1598
2018,Spain,Other Sources,240
2018,Sweden,Police Records,5858
2018,Sweden,Other Sources,27
2018,Switzerland,Police Records,159
2018,Switzerland,Other Sources,33
2018,Tajikistan,Police Records,NA
2018,Tajikistan,Other Sources,13
2018,Turkey,Police Records,NA
2018,Turkey,Other Sources,41
2018,Turkmenistan,Police Records,NA
2018,Turkmenistan,Other Sources,8
2018,Ukraine,Police Records,178
2018,Ukraine,Other Sources,237
2018,United Kingdom,Police Records,111076
2018,United Kingdom,Other Sources,565
2018,United States of America,Police Records,8496
2018,United States of America,Other Sources,835
2018,Uzbekistan,Police Records,NA
2018,Uzbekistan,Other Sources,1
